codigo P;nombre P;cantidad;precio;bod;cant_real;
7702080520036;GUAYO TRAIN ELEMT TERRA USA10K EUR27,5;1;67300;TFG  ;1;
7702080520432;GUAYO TRAIN ELEMT TERRA USA13K EUR31;1;67300;TFG  ;1;
7702080521538;GUAYO TRAIN ELEMT AQUA USA13K EUR31;1;67300;TFG  ;1;
7702080522238;GUAYO TRAIN ELEMT VOLCANO USA10K EUR27,5;2;67300;TFG  ;2;
7702080523334;GUAYO TRAIN ELEMT TORNADO USA10K EUR27,5;1;67300;TFG  ;1;
7702080523730;GUAYO TRAIN ELEMT TORNADO USA13K EUR31;1;67300;TFG  ;1;
7702080524430;GUAYO TRAIN ELEMT METALLIC USA10K EUR27,5;1;67300;TFG  ;1;
7702080524836;GUAYO TRAIN ELEMT METALLIC USA13K EUR31;1;67300;TFG  ;1;
7702080526038;ZAP TORR TRAIN ELEMT TERRA USA4 1/2 EUR36,7;1;66500;TFG  ;1;
7702080526236;ZAP TORR TRAIN ELEMT AQUA USA13 1/2K EUR31,5;1;66500;TFG  ;1;
7702080527639;ZAP TORR TRAIN ELEMT TORNADO US13 1/2K EU31,5;1;66500;TFG  ;1;
7702080527837;ZAP TORR TRAIN ELEMT TORNADO US2 EU33,5;1;66500;TFG  ;1;
7702080528032;ZAP TORR TRAIN ELEMT TORNADO US4 EU36;1;66500;TFG  ;1;
7702080528339;ZAP TORR TRAIN ELEMT METALLIC US13 1/2K EU31,5;2;66500;TFG  ;2;
7702080528537;ZAP TORR TRAIN ELEMT METALLIC USA2 EU33,5;1;66500;TFG  ;1;
7702080528636;ZAP TORR TRAIN ELEMT METALLIC USA3 EU35;1;66500;TFG  ;1;
7702080528933;ZAP TORR TRAIN ELEMT METALLIC USA5 EUR37,3;1;66500;TFG  ;1;
7702080540034;GUAYO LETHAL PRO LIMON / AGUAMARINA 9;8;71500;TFG  ;8;
7702080540072;GUAYO COMP GOLTY DUAL II CAU VER/NEG 11 1/2;1;71500;TFG  ;1;
7702080540096;GUAYO FX VERDE LIMON / AZUL 9  (39.5) TPU;6;71500;TFG  ;6;
7702080540133;GUAYO LETHAL PRO LIMON / AGUAMARINA 9 1/2;2;71500;TFG  ;2;
7702080540171;GUAYO COMP GOLTY DUAL II CAU AMAR/NEG 7 1/2;1;67300;TFG  ;1;
7702080540195;GUAYO FX VERDE LIMON / AZUL 9 1/2 (40.5) TPU;1;71500;TFG  ;1;
7702080540232;GUAYO LETHAL PRO LIMON / AGUAMARINA 10;2;71500;TFG  ;2;
7702080540294;GUAYO FX VERDE LIMON / AZUL 10  (41.5) TPU;4;71500;TFG  ;4;
7702080540331;GUAYO LETHAL PRO LIMON / AGUAMARINA 11;2;71500;TFG  ;2;
7702080540393;GUAYO FX VERDE LIMON / AZUL 11  (42.5) TPU;4;71500;TFG  ;4;
